trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff
Gudbrandsdalsleden,Pilegrimssenter Dovrefjell (vinter),Pilegrimssenter | Naturområde,62.2212861,9.5464122,gap,,,,
Gudbrandsdalsleden,Milesteinen i Oslo – startpunkt,Pilegrimssenter,59.9059365,10.7680888,matched,node/2785465804,https://www.openstreetmap.org/node/2785465804,94.7,tourism=information; information=office; pilgrimage=stamp_office; checkpoint:type=stamp
Gudbrandsdalsleden,Oslo Bispegård,Kulturminne,59.9063410,10.7694500,matched,node/2785465804,https://www.openstreetmap.org/node/2785465804,8.2,tourism=information; information=office; pilgrimage=stamp_office; checkpoint:type=stamp
Gudbrandsdalsleden,Pilegrimsmottak,Turistinformasjon | Aktivitet | Sted,63.4265962,10.3999933,matched,way/167823309,https://www.openstreetmap.org/way/167823309,4.3,tourism=guest_house; pilgrimage=stamp_office; building=retail; checkpoint:type=stamp
Gudbrandsdalsleden,Pilegrimssenter Dale-Gudbrand,Pilegrimssenter | Handel og service | Naturområde,61.5483545,9.9663806,matched,node/6652754860,https://www.openstreetmap.org/node/6652754860,34.2,pilgrimage=stamp_office
Gudbrandsdalsleden,Pilegrimssenter Dale-Gudbrand,Overnatting | Pilegrimsherberge | Håndverk | Naturområde,61.5485334,9.9665523,matched,way/708003068,https://www.openstreetmap.org/way/708003068,27.5,tourism=information; information=office; pilgrimage=stamp_office; building=civic; checkpoint:type=stamp
Gudbrandsdalsleden,Pilegrimssenter Dovrefjell (sommer),Pilegrimssenter,62.2225090,9.5677338,matched,node/14086486197,https://www.openstreetmap.org/node/14086486197,35.9,tourism=information; information=office; pilgrimage=stamp_office; checkpoint:type=stamp
Gudbrandsdalsleden,Pilegrimssenter Granavollen,Pilegrimssenter | Overnatting | Teltplass | Rasteplass | Transport | Turistinformasjon | Naturområde,60.3673312,10.5283785,matched,node/8710369189,https://www.openstreetmap.org/node/8710369189,2.8,pilgrimage=stamp_office
Gudbrandsdalsleden,Pilegrimssenter Hamar  - Besøks- og informasjonssenter og herberge,Pilegrimssenter,60.7928113,11.0428940,matched,way/98811698,https://www.openstreetmap.org/way/98811698,4.5,tourism=information; information=office; pilgrimage=stamp_office; building=office
Gudbrandsdalsleden,Pilegrimssenter Oslo,Pilegrimssenter | Turistinformasjon,59.9062231,10.7698344,matched,node/2785465804,https://www.openstreetmap.org/node/2785465804,17.9,tourism=information; information=office; pilgrimage=stamp_office; checkpoint:type=stamp
